drug_a,drug_b,severity,mechanism,description
oxycodone,alprazolam,Major,Additive CNS and respiratory depression,"Combining an opioid with a benzodiazepine can cause profound sedation, slowed breathing, coma, and death. The FDA carries a boxed warning against this combination."
oxycodone,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
oxycodone,lorazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
oxycodone,clonazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
hydrocodone,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
hydrocodone,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
morphine,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
morphine,lorazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
fentanyl,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
fentanyl,midazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
tramadol,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine raises the risk of over-sedation and slowed breathing; tramadol also adds seizure and serotonin risk."
codeine,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
methadone,alprazolam,Major,Additive CNS and respiratory depression,"Methadone plus a benzodiazepine is especially dangerous for slowed breathing and death; methadone also prolongs the QT interval."
hydromorphone,lorazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
oxycodone,zolpidem,Major,Additive CNS and respiratory depression,"Opioids combined with sleep sedatives (Z-drugs) can cause dangerous over-sedation and slowed breathing."
oxycodone,gabapentin,Major,Additive CNS and respiratory depression,"The FDA warns that gabapentinoids with opioids can cause serious breathing problems, especially in older adults or those with lung disease."
oxycodone,pregabalin,Major,Additive CNS and respiratory depression,"The FDA warns that gabapentinoids with opioids can cause serious breathing problems, especially in older adults or those with lung disease."
carisoprodol,oxycodone,Major,Additive CNS and respiratory depression,"The muscle relaxant carisoprodol with an opioid causes strong additive sedation and a high overdose risk."
alprazolam,zolpidem,Major,Additive CNS and respiratory depression,"Two sedatives together (a benzodiazepine and a Z-drug sleep aid) can cause excessive sedation and slowed breathing."
phenelzine,fluoxetine,Major,Serotonin syndrome,"An MAOI with an SSRI can cause life-threatening serotonin syndrome. These must be separated by a washout period; do not take together."
phenelzine,sertraline,Major,Serotonin syndrome,"An MAOI with an SSRI can cause life-threatening serotonin syndrome. These must be separated by a washout period; do not take together."
tranylcypromine,sertraline,Major,Serotonin syndrome,"An MAOI with an SSRI can cause life-threatening serotonin syndrome. These must be separated by a washout period; do not take together."
tranylcypromine,venlafaxine,Major,Serotonin syndrome,"An MAOI with an SNRI can cause life-threatening serotonin syndrome. These must be separated by a washout period; do not take together."
isocarboxazid,paroxetine,Major,Serotonin syndrome,"An MAOI with an SSRI can cause life-threatening serotonin syndrome. These must be separated by a washout period; do not take together."
selegiline,sertraline,Major,Serotonin syndrome,"An MAOI with an SSRI can cause life-threatening serotonin syndrome. Combining them is contraindicated."
linezolid,sertraline,Major,Serotonin syndrome,"Linezolid is an antibiotic with MAOI activity; combined with an SSRI it can cause serotonin syndrome."
linezolid,fluoxetine,Major,Serotonin syndrome,"Linezolid is an antibiotic with MAOI activity; combined with an SSRI it can cause serotonin syndrome."
phenelzine,meperidine,Major,Serotonin syndrome,"The opioid meperidine with an MAOI can cause fatal serotonin syndrome and is contraindicated."
phenelzine,tramadol,Major,Serotonin syndrome and seizures,"Tramadol with an MAOI can cause serotonin syndrome and seizures; the combination is contraindicated."
tranylcypromine,dextromethorphan,Major,Serotonin syndrome,"The cough suppressant dextromethorphan with an MAOI can cause serotonin syndrome and is contraindicated."
fluoxetine,tramadol,Major,Serotonin syndrome and seizures,"Combining tramadol with an SSRI raises the risk of serotonin syndrome and seizures."
sertraline,tramadol,Major,Serotonin syndrome and seizures,"Combining tramadol with an SSRI raises the risk of serotonin syndrome and seizures."
sildenafil,nitroglycerin,Major,Additive vasodilation and severe hypotension,"Erectile-dysfunction PDE5 inhibitors with nitrates can cause a dangerous drop in blood pressure. This combination is contraindicated."
sildenafil,isosorbide mononitrate,Major,Additive vasodilation and severe hypotension,"PDE5 inhibitors with nitrates can cause a dangerous drop in blood pressure. This combination is contraindicated."
tadalafil,nitroglycerin,Major,Additive vasodilation and severe hypotension,"PDE5 inhibitors with nitrates can cause a dangerous drop in blood pressure. This combination is contraindicated."
tadalafil,isosorbide dinitrate,Major,Additive vasodilation and severe hypotension,"PDE5 inhibitors with nitrates can cause a dangerous drop in blood pressure. This combination is contraindicated."
methadone,ondansetron,Major,Additive QT prolongation,"Both drugs prolong the heart's QT interval; together they raise the risk of a dangerous heart rhythm."
citalopram,ondansetron,Moderate,Additive QT prolongation,"Both drugs can prolong the heart's QT interval; use together with caution and monitoring."
sertraline,sumatriptan,Moderate,Additive serotonergic effect,"The FDA notes a possible risk of serotonin syndrome when triptans are combined with SSRIs; watch for symptoms."
fluoxetine,sumatriptan,Moderate,Additive serotonergic effect,"The FDA notes a possible risk of serotonin syndrome when triptans are combined with SSRIs; watch for symptoms."
